Long,Lat
-1050.810057407536078,314.991126916978828
-1850.466823128670512,496.727326134897794
-1933.064501983387117,254.315199909801322
-881.699646729044389,43.932362111224165
-841.175468942174803,-146.227863826505086
-1926.481910700954813,-1042.643991937060719
-1916.76394223868374,-23.832823907371449
-851.91297754163611,-60.907955438290742
-1858.667173266130249,-676.668446529959056
-2003.085766315402225,405.239328572369004
-1856.546247872638332,253.51048873367813
-1111.300667191393131,579.93748072383346
-1850.766800384473754,329.466927058145984
-1765.857148729350911,-326.305816279902615
-1151.83232316125509,398.353319943631504
-860.036246280193154,-407.387596034909961
-1780.061071689246774,-292.22090054523801
-1077.747273384462005,-63.613359256753256
-840.071384654633675,502.367015154761475
-1880.173983158117153,-959.20522575681548
-2014.808126362091798,300.967045776310215
-1931.699482592357299,-564.930872336127891
-964.69688505087197,-414.215417507345819
-972.933863621751016,-405.978095521545697
-853.30602434133425,-402.060793948847731
-1111.895319049204772,-900.181285377787276
-2063.126966590669781,-469.113389434516876
-1982.737220189164191,288.951163583216839
-1133.769893795456937,-654.148391025662249
-1862.293802289635551,-106.981769540946289
-2081.93419465933448,-349.375589185647414
-2055.567214691295248,-14.703738943191865
-1883.050242740475142,575.138387256955184
-892.676275738177083,49.784866778669084
-1939.037582294393587,337.922874153062594
-1087.068377484759367,-731.902949264574431
-1121.112128197650691,-565.73244879177139
-886.155301562663681,-264.864666629960197
-1153.837934976670567,511.746465979113282
-1789.279605520438281,-390.482129741078325
-1821.619902492109304,-412.442245843599039
-941.583486555786521,190.884741860098529
-1880.484648209140687,505.279735123159298
-1998.33713791284481,-307.96264429699454
-1861.217242714855956,-840.722905059373034
-1785.462255329739037,77.393080973962924
-1881.299829230112664,-657.369939058956334
-1872.523992319840318,168.64271493350725
-1109.158868393830744,-30.650290345086432
-2063.995476255479389,-346.298177263395473
-1764.46428414224556,-881.522053441983417
-933.054528436415922,352.189291114547132
-955.019394184705334,231.273843517144996
-1616.623869734984055,-117.111880390724536
-872.468317478970221,-1012.830735041587332
-1987.377098030548041,-917.059360207930922
-1147.421340394112121,-341.990764013080707
-2057.793323911761945,-819.688746090675977
-1804.157731025492239,-344.57239925632598
-2057.138303618368354,-436.95619162313244
-924.365791646264597,-738.677951115886117
-2039.699772043315988,433.208450369722186
-931.918908082416465,-62.223346250083182
-1922.792237128576744,45.531289390980874
-1898.328056377270059,-551.636211756842386
-1784.247000685089461,604.749944476111068
-892.663366413267795,-876.409079620078273
-1190.872152575325345,-418.288097149609371
-1772.326364254687405,-119.924422472386823
-825.720220286196991,35.877996603363044
-873.490437075526643,-819.480699161912412
-1798.516274262579373,-832.508767895274218
-991.072685403067226,-851.877915078868227
-1213.687091844987435,-124.230057919970477
-1062.796676071563525,-50.054957676458116
-1378.013867783580963,-100.074220404366315
-1229.919307599508329,-363.808350463157808
-967.746114219551828,-942.594836592471324
-887.649605711430013,-448.025981979850258
-929.231342429962751,335.513228462489906
-980.305090012436722,-55.388469452288746
-1812.692626858419089,-144.989894327983507
-1006.483053399658957,240.533080817617019
-1359.90681292250747,-74.800259526160175
-1993.031540020074544,-348.426956907129238
-971.985022132838367,-656.452197217974913
-1049.563779189038996,417.75087075343572
-1112.88819083754538,54.556316557855553
-932.440922725011887,536.417912125691146
-1936.309373700706146,-338.999242634913116
-821.52945004954222,-191.138304652683587
-1838.555557395051892,347.646555161582455
-1371.380981569337564,-291.381452123742974
-1085.798202421710812,612.095336572053156
-2021.070346060036627,-556.400682649371106
-988.377117471208749,479.395498253643154
-1465.83202900375818,-258.490247718258161
-965.629913980490983,-986.627727003997393
-1929.119451121117208,335.549424369072312
-1933.714700769299043,-428.337419900939381
-980.883315708071223,-781.049653039237455
-919.459710560901158,-28.846601929738654
-1501.200647435588508,-165.249982194535391
-830.453864803625493,-82.936783764168922
-1060.417063521143746,-391.425487493375158
-1086.820415365462395,-336.412754250773901
-1984.384175447755524,-984.908050701095704
-914.319219307469893,-852.330790798075782
-974.74886542925401,-407.440559121554202
-1001.214416381435058,314.937230136802327
-974.248124981555293,105.655794375042206
-1889.971799950207242,-369.978645852895966
-2035.447722741303778,-499.559092912706092
-1919.594991571360197,554.064761238297706
-1205.076547539264311,-269.990150764861824
-1732.27505056422433,-395.518324306545878
